Material;Descripción;Centro;Subcategoría;ABC;Logística;CATMAN;Importe Vendido;Importe Año Anterior;Volumen Vendido;Volumen Año Anterior;Stock
PAEM0005;PAN BIMBO BIMBOLLO EXTRA GRANDE 480G;S005;Bollería;B;PdC;Santiago; $1.121,00 ; $1.450,00 ;19;29;0
PAEM0025;PAN DULCE BIMBO MANTECADAS NUEZ 184.5;S005;Pan Seco;C;PdC;Santiago; $510,15 ; $259,30 ;19;10;9
SERV0005;LAVATRASTES LIQUIDO AXION LIMON 12/280ML;S005;Detergente Trastes L;D;CEDIS;Sandra; $262,01 ; $217,28 ;19;14;8
TAAC0005;DULCE DE LA ROSA PULPARINDO 32/20/14G;S005;Pulpas;D;CEDIS;Sandra; $38,00 ; $36,00 ;19;18;37
TOST0006;TOSTADA EL CHARRO GRANDE 20PZ;S005;Tostada;D;PdC;Santiago; $379,40 ; $285,00 ;19;15;7
YOBE0089;YOGHURT BEBIBLE ALPURA FRESA/COCO 220G;S005;Yog Bebible Regular;D;PdC;Santiago; $288,50 ; $273,00 ;19;21;9
ACCI0004;CERILLOS CLÁSICOS LA CENTRAL  20/50/1PZ;S005;Cerillos;D;CEDIS;Sandra; $31,02 ; $10,33 ;18;6;36
ADCO0070;MAYONESA MCCORMICK 12/725G;S005;Mayonesas;B;CEDIS;Sandra; $1.647,00 ; $2.523,00 ;18;29;20
ADCO0199;PAPRIKA PRAGNA 8/60G;S005;Especias;D;CEDIS;Sandra; $693,00 ; $-   ;18;0;4
ALBE0053;PAPILLA POLLO Y ARROZ GERBER E2 24/100G;S005;Papillas para Bebe;D;CEDIS;Sandra; $234,00 ; $-   ;18;0;8
ALEN0054;FRIJOL BAYO LA COSTEÑA REFRITO 12/820G;S005;Frijoles Envasados;D;CEDIS;Sandra; $558,00 ; $647,00 ;18;22;8
ALMA0057;CROQUETAS PARA PERRO CHOP CACHORRO 5/4KG;S005;Alimento para perro;B;CEDIS;Alma; $2.669,39 ; $5.129,52 ;18;34;12
BEAL0001;ENERGETIZANTE BOOST ACTIVE 24/235ML;S005;Isotónicos;C;PdC;Santiago; $318,07 ; $547,80 ;18;31;32
BEAL0026;BEBIDA GATORADE NARANJA 6/1LT;S005;Isotónicos;C;PdC;Santiago; $558,00 ; $550,00 ;18;20;6
BEAL0034;BEBIDA POWERADE FRUTAS 600ML;S005;Isotónicos;C;PdC;Santiago; $432,00 ; $742,50 ;18;33;7
BERN0037;JUGO JUMEX UVA TETRAPACK 12/960ML;S005;Jugo y Nec Familiar;C;CEDIS;Sandra; $450,00 ; $325,00 ;18;13;10
CARN0294;PULPA BISTEC RES 8/1.5KG;S005;Carne de Res;N;CEDIS;Alma; $4.824,00 ; $520,00 ;18;2;9
CASE0041;CACAHUATE KACANG INCOGNITA 74G;S005;Cacahuate;D;PdC;Santiago; $266,60 ; $340,64 ;18;23;12
CATE0032;CAFE NESCAFE CAPPUCCINO ORIGINAL 6/6/20G;S005;Café;D;CEDIS;Sandra; $144,00 ; $-   ;18;0;39
CERV0016;CERVEZA OSCURA CORONA FAMILIAR 12/940ML;S005;Cerveza No retornabl;B;PdC;Santiago; $672,43 ; $5.256,99 ;18;168;37
CERV0077;CERVEZA VICKY CHAMOY 24/473ML;S005;Cerveza No retornabl;C;PdC;Santiago; $496,58 ; $675,90 ;18;28;1
CHGO0002;CHOCOLATE HERSHEY´S CON LECHE 14/6/27G;S005;Chocolate Golosina;D;CEDIS;Sandra; $225,00 ; $46,28 ;18;4;7
CIGA0001;CIGARRO BENSON GOLD 10/20PZ;S005;Cigarros $ Alto;D;PdC;Santiago; $1.241,42 ; $323,32 ;18;5;9
CONG0103;MOJARRA TILAPIA PEZ AZUL CONGELADA 1KG;S005;Pescados y Mariscos;A;CEDIS;Alma; $2.502,00 ; $-   ;18;0;13
CRSP0017;ARROZ KNORR A LA MEXICANA 12/155G;S005;Arroz Precocido;D;CEDIS;Sandra; $711,00 ; $703,00 ;18;19;12
CUIC0056;GEL PARA CABELLO XTREME 12/250G;S005;Geles, Ceras y Fijad;D;CEDIS;Sandra; $512,10 ; $203,44 ;18;8;7
DEPO0038;DETERGENTE POLVO BOLD 3 AROMAS 18/800G;S005;Detergente Ropa en P;C;CEDIS;Sandra; $504,34 ; $1.641,50 ;18;68;15
DEPO0092;DETERGENTE LIQUIDO FOCA ROPA 4/3.78LT;S005;Detergente Ropa Liqu;C;CEDIS;Sandra; $2.160,92 ; $1.949,99 ;18;18;9
DEPO0123;JABON ZOTE EN BARRA ROSA 25/400G;S005;Jabón para Ropa en B;D;CEDIS;Sandra; $414,64 ; $193,95 ;18;9;12
GASA0008;GALLETA GAMESA CRAKETS 89G;S005;Galleta Salada;D;PdC;Santiago; $254,62 ; $142,57 ;18;11;35
GASE0073;ARROZ VERDE VALLE SUPER EXTRA 22/500G;S005;Arroz;N;PdC;Sandra; $319,50 ; $-   ;18;0;312
HACO0034;BASE PARA PAY BAMA CHAROLA 4/1PZ;S005;Harinas Preparadas;D;CEDIS;Sandra; $986,71 ; $601,88 ;18;10;1
JUNE0058;JUGO JUMEX FRESH CITRICOS 12/600ML;S005;Jugo y Nec Personal;D;PdC;Santiago; $279,00 ; $478,50 ;18;33;5
LEFR0018;MALTEADA BIMBO NITO 236ML;S005;Saborizada Pasteuriz;C;PdC;Santiago; $297,00 ; $546,00 ;18;39;27
LEPC0039;LECHE CONDENSADA PRONTO 24/380G;S005;Leche Condensada;C;CEDIS;Sandra; $441,00 ; $644,00 ;18;28;19
LIMP0162;SCOTCH BRITE MICROFIBRA 24/1PZ;S005;Jergas, fibras y tel;C;PdC;Santiago; $333,60 ; $241,36 ;18;14;15
LIMP0187;LIMPIADOR POETT LAVANDA 8/1.8LT;S005;Limpiadores Multiuso;D;CEDIS;Sandra; $535,32 ; $213,76 ;18;8;9
MMCA0038;MIEL DGARI MAPLE S/AZUCAR 24/250ML;S005;Miel;D;CEDIS;Sandra; $594,00 ; $527,00 ;18;17;6
MOLE0002;CHOCOLATE EN POLVO BATICHOCO S. 25/400G;S005;Chocolate en polvo;D;PdC;Santiago; $725,04 ; $486,15 ;18;15;16
MOLE0019;CHOCOLATE CHOCOMILK 33/350G;S005;Chocolate en polvo;C;CEDIS;Sandra; $864,00 ; $559,00 ;18;13;10
OTGO0110;PASTILLA DULCE TIC TAC 12/16G;S005;Pastillas Refrescant;D;PdC;Santiago; $162,00 ; $119,00 ;18;14;14
OTGO0181;ALFAJOR SAN JUANERO 250G;S005;Dulces tipicos;N;NoClas;Santiago; $466,72 ; $-   ;18;0;45
REFR0068;REFRESCO FRESCA SABOR TORONJA 12/600ML;S005;Refrescos de Sabores;C;PdC;Santiago; $325,80 ; $527,66 ;18;34;13
YOBA0033;YOGHURT ALPURA FRUTAL CON FRESA 125GR;S005;Yog Batido Regular;D;PdC;Santiago; $155,50 ; $322,50 ;18;43;4
YOBE0088;YOGHURT BEBIBLE ALPURA PIÑA/COCO 220G;S005;Yog Bebible Regular;D;PdC;Santiago; $277,00 ; $182,00 ;18;14;8
FRVE0044;MAMEY KG;S005;Frutas;D;CEDIS;Sebastián; $907,57 ; $234,44 ;18;4;1,98
LADE0010;QUESO MORRAL BOLONIA POR KG;S005;Quesos;B;PdC;Santiago; $3.200,68 ; $4.181,48 ;17;24;5,702
ALBE0018;PAPILLA MANZANA GERBER E2 24/100G;S005;Papillas para Bebe;D;CEDIS;Sandra; $221,00 ; $295,50 ;17;25;9
ALEN0040;CHICHAROS LA COSTEÑA 24/420G;S005;Vegetales Envasados;D;CEDIS;Sandra; $340,00 ; $195,00 ;17;13;11
ALEN0057;FRIJOL BAYO LA COSTEÑA REFRITO 12/220G;S005;Frijoles Envasados;D;CEDIS;Sandra; $221,00 ; $188,50 ;17;16;14
ALEN0123;FRIJOLES BAYOS LA SIERRA EN LATA 12/580G;S005;Frijoles Envasados;C;CEDIS;Sandra; $365,50 ; $240,00 ;17;12;14
BEAL0027;BEBIDA GATORADE PONCHE FRUTAS 6/500ML;S005;Isotónicos;C;PdC;Santiago; $340,00 ; $330,00 ;17;15;7
BEAL0049;ENERGETIZANTE VIVE 100 24/300ML;S005;Energéticos;D;CEDIS;Sandra; $190,57 ; $161,70 ;17;15;4
BEHI0182;TALCO PARA PIES REXONA EFFICIENT 12/100G;S005;Talcos;D;CEDIS;Sandra; $608,25 ; $255,20 ;17;8;9
CERE0030;CEREAL KELLOGG´S FROOT LOOPS 50/25G;S005;Cereal Infantil;D;CEDIS;Sandra; $149,30 ; $140,75 ;17;19;11
CHGO0089;CHOCOLATE SNICKERS 32/6/48G;S005;Chocolate Golosina;C;CEDIS;Sandra; $236,13 ; $181,45 ;17;14;18
CONG0091;CAMARON CAPITAN PREMIUM 61/70 1KG;S005;Pescados y Mariscos;B;CEDIS;Alma; $3.094,00 ; $6.188,00 ;17;34;19
CUBE0049;TOALLITAS HUMEDAS DODYS ROSA 4/12/80PZ;S005;Toallas húmedas bebe;C;CEDIS;Sandra; $476,31 ; $375,00 ;17;15;12
CUIC0035;GEL PARA CABELLO EGO ATTRACTION 12/200ML;S005;Geles, Ceras y Fijad;D;CEDIS;Sandra; $248,78 ; $142,23 ;17;11;5
CUIC0202;SHAMPOO VANART NUTRI COCO/ALME 12/750ML;S005;Shampoos;D;CEDIS;Sandra; $615,57 ; $325,89 ;17;9;5
DEPO0161;DETERGENTE LIQUIDO CARISMA 4/3.785LT;S005;Detergente Ropa Liqu;C;CEDIS;Sandra; $2.165,78 ; $-   ;17;0;11
DESE0068;TENEDOR FANTASY GREEN MEDIANO 40/25PZ;S005;Cubiertos desechable;D;CEDIS;Sandra; $205,19 ; $350,03 ;17;29;18
FRIT0081;PAPAS SABRITAS HABANERO 42G;S005;Papas fritas;C;PdC;Santiago; $299,04 ; $166,70 ;17;10;0
FRIT0083;PAPAS SABRITAS ORIGINAL 105G;S005;Papas fritas;C;PdC;Santiago; $668,95 ; $748,65 ;17;21;2
GADU0086;GALLETA GAMESA MAMUT 12/240G;S005;Galleta Dulce Caja;C;CEDIS;Sandra; $708,38 ; $416,69 ;17;10;7
GADU0093;GALLETA GAMESA MARIAS AZUCARADAS 150G;S005;Galleta Dulce Paqeti;D;PdC;Santiago; $283,38 ; $15,74 ;17;1;25
GADU0100;GALLETA GAMESA POPULARES 6/1KG;S005;Galleta Dulce Caja;B;CEDIS;Sandra; $1.149,03 ; $1.689,75 ;17;25;8
LADE0106;QUESO NAVARRO PANELA BAJO EN GRASA 400G;S005;Quesos;C;PdC;Santiago; $1.666,00 ; $1.176,00 ;17;14;0
LEFR0070;LECHE ENTERA LYNCOTT 1 LT;S005;Blanca UHT;D;PdC;Alma; $561,00 ; $84,00 ;17;3;0
LEPC0030;LECHE COFFE MATE NESTLE 12/400G;S005;Leche en Polvo;B;CEDIS;Sandra; $1.136,99 ; $630,00 ;17;10;7
LIMP0078;LIMPIADOR FABULOSO MAR FRESCO 12/1LT;S005;Limpiadores de pisos;C;CEDIS;Sandra; $461,72 ; $465,60 ;17;20;22
LIMP0081;LIMPIADOR FABULOSO NARANJA 12/1LT;S005;Limpiadores Multiuso;C;CEDIS;Sandra; $461,72 ; $395,75 ;17;17;17
LIMP0085;FIBRA SCOTCH BRITE VDE POP 12/92MMX150MM;S005;Jergas, fibras y tel;D;PdC;Santiago; $168,48 ; $331,86 ;17;35;21
MOLE0012;CHOCOLATE BARRA CHOCOCOA 72/180G;S005;Chocolate de mesa;B;CEDIS;Sandra; $354,12 ; $194,40 ;17;10;88
MOLE0032;FECULA MAIZENA 96/160G;S005;Atoles/Avena;C;CEDIS;Sandra; $433,50 ; $240,00 ;17;10;11
OTBO0046;CHILE TAJIN BAJO EN SODIO 12/142G;S005;Salsas Botaneras;C;CEDIS;Sandra; $739,50 ; $693,00 ;17;18;10
OTGO0101;DULCE INSPIREKA SONRICS MOLDEABLE 4/20.4;S005;Caramelos;C;NoClas;Santiago; $502,82 ; $-   ;17;0;11
PAEM0060;PAY MARINELA PIÑA 110G;S005;Pan en Barra;D;PdC;Santiago; $393,54 ; $66,66 ;17;3;0
PAEM0145;PASTELITO MARINELA MINI PINGUINO 25G;S005;Pan Seco;D;PdC;Santiago; $157,42 ; $32,40 ;17;5;7
PONR0053;GELATINA EN POLVO PRONTO NARANJA 24/84G;S005;Gelatinas en Polvo;D;CEDIS;Sandra; $238,00 ; $132,00 ;17;12;11
REFR0179;REFRESCO SPRITE LATA 24/355ML;S005;Refrescos de Cola;;NoClas;Santiago; $293,08 ; $-   ;17;0;18
SUTE0007;SUAVI DE TELA ENSUEÑO COCO KARIT 12/850M;S005;Suavizante Tradicion;D;CEDIS;Sandra; $358,41 ; $75,87 ;17;4;10
TAAC0016;DULCE LUCAS MUECAS SABO CHAMOY 24/10/24G;S005;Tamarindos y frut de;D;CEDIS;Sandra; $118,01 ; $71,28 ;17;11;14
VILB0020;WHISKY JOHNNIE WALKER ETI/ROJA 12/700ML;S005;Whisky;C;CEDIS;Sandra; $4.397,22 ; $258,62 ;17;1;7
YOBA0014;YOGHURT YOPLAIT CON FRUTAS Y CERALES 1KG;S005;Yog Batido Regular;C;PdC;Alma; $935,00 ; $736,00 ;17;16;8
YOBA0022;YOGHURT YOPLAIT PLACER SABOR FRESA 150G;S005;Yog Batido Regular;D;PdC;Alma; $289,00 ; $319,00 ;17;22;4
YOBE0087;YOGHURT BEBIBLE ALPURA MANZANA 220G;S005;Yog Bebible Regular;D;PdC;Santiago; $257,50 ; $208,00 ;17;16;14
FRVE0022;CIRUELA IMPORTADA KG;S005;Frutas;B;CEDIS;Sebastián; $1.949,21 ; $584,27 ;17;4;8,405
GASE0027;JAMAICA KG;S005;Otras Semillas;B;CEDIS;Sandra; $1.721,16 ; $2.347,82 ;16;14;8,239
ACCO0017;ACEITE OLIVA VALLE GALAVIZ 12/1LT;S005;Aceite Liq. Comestib;B;CEDIS;Sandra; $1.824,00 ; $945,00 ;16;9;13
ADCO0001;ADEREZO CESAR CLEMENTE J. 12/237ML;S005;Aderezo para ensalad;C;CEDIS;Sandra; $560,00 ; $589,00 ;16;19;16
ADCO0005;SALSA CATSUP CLEMENTE J. 12/680G;S005;Cátsup;D;CEDIS;Sandra; $544,00 ; $320,00 ;16;10;9
ADCO0099;SALSA BBQ HUNTS ORIGINAL 12/620G;S005;Moles y Adobos;C;CEDIS;Sandra; $784,00 ; $966,00 ;16;21;16
ADCO0118;CRUTONES FRESH GOURMET QUESO/AJO 12/142G;S005;Especias;D;PdC;Santiago; $800,00 ; $564,00 ;16;12;14
ADCO0246;SAZONADOR KNORR CAMARON 8 CUBOS 24/84G;S005;Consomés y Caldos;N;NoClas;Sandra; $608,00 ; $-   ;16;0;12
ALBE0024;PAPILLA MANGO GERBER E3 12/170G;S005;Papillas para Bebe;D;CEDIS;Sandra; $328,00 ; $192,00 ;16;11;6
ALEN0067;CHILE JALAPEÑO LA COSTEÑA NACHOS 24/220G;S005;Chiles Envasados;D;CEDIS;Sandra; $272,00 ; $352,00 ;16;22;8
ALEN0158;DURAZNO ALMIBAR LA COSTEÑA MITAD 12/820G;S005;Frutas Envasadas;C;CEDIS;Sandra; $1.008,00 ; $472,00 ;16;8;7
CATE0106;CAFE NESCAFE LATTE 12/330ML;S005;Bebidas Procesadas;C;CEDIS;Sandra; $360,00 ; $202,00 ;16;10;16
CERE0080;CEREAL NESTLE CORN FLAKES 16/500G;S005;Cereal básico;C;CEDIS;Sandra; $770,40 ; $408,33 ;16;9;5
CERV0083;CERVEZA CLARA CORONA 12/710ML;S005;Cerveza No retornabl;C;PdC;Santiago; $537,92 ; $1.732,63 ;16;67;7
CHGO0112;CHOCOLATE NESTLE CRUNCH CRISP 8/6/50G;S005;Chocolate Golosina;D;CEDIS;Sandra; $192,64 ; $44,44 ;16;4;14
CUBU0024;PASTA DENTAL COLGATE LUMI WHITE 48/75ML;S005;Crema Dental;C;CEDIS;Sandra; $772,48 ; $560,30 ;16;13;18
FERR0027;FOCO OSRAM LUZ DE DIA 23W PZ;S005;Otros Ferretería;D;PdC;Santiago; $703,47 ; $131,91 ;16;3;0
FRIT0005;PAPAS BARCEL CHIPS SABOR SAL DE MAR 170G;S005;Papas fritas;D;PdC;Santiago; $888,95 ; $433,35 ;16;9;22
FRIT0025;CACAHUATE LA ESPECIAL GARAMPIÑADO 150G;S005;Mezclas Frituras;D;PdC;Santiago; $363,01 ; $234,28 ;16;11;8
FRIT0097;PAPAS SABRITAS SABRITONES 165G;S005;Maíz Frito;C;PdC;Santiago; $636,97 ; $427,80 ;16;12;0
FRIT0147;BOTANA EXCEL TOTOPIKOS FUEGO LIMON 500G;S005;Maíz Frito;C;PdC;Santiago; $703,68 ; $427,79 ;16;11;0
FRIT0170;BOTANA EXCEL CHURRIKOS CHILE LIMON 500G;S005;Papas fritas;D;PdC;Santiago; $801,92 ; $494,00 ;16;11;6
GADU0145;GALLETA MARINELA SPONCH 120G;S005;Galleta Dulce Paqeti;C;PdC;Santiago; $295,75 ; $111,12 ;16;6;5
HUEV0006;CLARA DE HUEVO LIQUI SAN JUAN PAST 3.7KG;S005;Complementos huevo;B;PdC;Alma; $2.176,00 ; $1.904,00 ;16;14;3
LADE0098;QUESO NAVARRO CHEDDAR 200G;S005;Quesos;D;PdC;Santiago; $912,00 ; $550,00 ;16;11;4
LEFR0002;MALTEADA AL- DIA FRESA 250ML;S005;Saborizada Pasteuriz;D;PdC;Santiago; $208,00 ; $31,50 ;16;3;5
LEPC0068;CREMA LALA MEDIA CREMA  UHT 250ML;S005;Media Crema;D;PdC;Alma; $328,00 ; $1.032,50 ;16;59;6
LIMP0030;CLORO CLORALEX 20/500ML;S005;Limpiadores Multiuso;D;CEDIS;Sandra; $144,80 ; $229,32 ;16;28;7
PAEM0015;PAN DULCE BIMBO CONCHAS 130G;S005;Pan en Barra;C;PdC;Santiago; $296,32 ; $444,47 ;16;24;4
PAEM0054;BARRITA MARINELA CON SABOR FRESA 64G;S005;Pan en Barra;C;PdC;Santiago; $236,98 ; $148,10 ;16;10;56
PAEM0156;PAN INTEGRAL BIMBO THIS OROWEAT M. 225G;S005;Pan en Barra;C;PdC;Santiago; $560,00 ; $850,00 ;16;25;4
PONR0054;GELATINA EN POLVO PRONTO PIÑA 24/84G;S005;Gelatinas en Polvo;C;CEDIS;Sandra; $224,00 ; $143,00 ;16;13;3
REFR0180;REFRESCO FRESCA LATA 24/355ML;S005;Refrescos de Cola;;NoClas;Santiago; $275,84 ; $-   ;16;0;9
SUTE0020;ACON DE TELA SUAVITEL BABY ANTI 12/850ML;S005;Suavizante Tradicion;C;CEDIS;Sandra; $372,45 ; $814,70 ;16;35;17
VILA0144;ROMPOPE SANTA FE SABOR VAINILLA 950ML;S005;Crema licor;C;PdC;Santiago; $1.337,92 ; $1.254,37 ;16;15;12
ADCO0026;SALSA ARRIERA LA COSTEÑA 20/250G;S005;Salsa para condiment;D;CEDIS;Sandra; $397,50 ; $225,00 ;15;9;24
ALBE0041;LECHE EN POLVO NAN 1 12/320G;S005;Fórmulas Lácteas;N;CEDIS;Sandra; $2.520,00 ; $-   ;15;0;7
ALEN0051;FRIJOL BAYO LA COSTEÑA REFRITO 12/580G;S005;Frijoles Envasados;D;CEDIS;Sandra; $300,00 ; $445,00 ;15;23;6
ALEN0065;CHILE JALAPEÑO LA COSTEÑA  ENT 6/2.8KG;S005;Chiles Envasados;C;CEDIS;Sandra; $1.215,00 ; $532,00 ;15;7;4
ARLI0005;VELADORA FAMA CHARRO 20/1PZ;S005;Velas y Veladoras;C;CEDIS;Sandra; $316,80 ; $376,76 ;15;19;14
ARLI0034;VELADORA SAN MARCOS LIMONERO 20/1PZ;S005;Velas y Veladoras;C;CEDIS;Sandra; $400,82 ; $400,00 ;15;16;15
BEAL0038;BEBIDA POWERADE UVA 600ML;S005;Isotónicos;C;PdC;Santiago; $360,00 ; $418,00 ;15;19;4
BEHI0153;DESODORANTE OBAO BAMBOO ROLL ON 24/65G;S005;Desodorante Femenino;D;CEDIS;Sandra; $336,16 ; $436,26 ;15;22;9
CARN0357;PULPA PICADA DE RES 8/1.5KG;S005;Carne de Res;A;PdC;Alma; $3.064,00 ; $1.040,00 ;15;4;12
CARN0387;ASADO DE TIRAS DE CERDO 10/500G;S005;Carne de Cerdo;A;NoClas;Alma; $1.442,00 ; $-   ;15;0;1
CERE0068;CEREAL KELLOGG´S CHOCO KRISPIS 50/38G;S005;Cereal Infantil;D;CEDIS;Sandra; $131,98 ; $49,99 ;15;6;13
CERE0081;CEREAL NESTLE FITNESS ORIGINAL 16/570G;S005;Cereal saludable;C;CEDIS;Sandra; $1.004,94 ; $459,28 ;15;8;64
CHGO0010;CHOCOLATE HERSHEY´S DARK 12/3/40G;S005;Chocolate Golosina;D;CEDIS;Sandra; $256,95 ; $81,01 ;15;5;11
CHGO0043;CHOCOLATE FERRERO ROCHER 8Pz 100G;S005;Chocolate Golosina;C;PdC;Santiago; $1.166,70 ; $585,20 ;15;8;12
CHGO0044;CHOCOLATE FERRERO 8/25G;S005;Chocolate Golosina;C;PdC;Santiago; $277,80 ; $404,58 ;15;23;29
COBE0025;BEBIDA ZUKO MANZANA 12/8/15G;S005;Concentrado de Bebid;D;CEDIS;Sandra; $64,65 ; $54,32 ;15;14;18
CUBU0002;CEPILLO COLGATE EXTRA CLEAN 48/2X1PZ;S005;Cepillos Dentales;C;CEDIS;Sandra; $464,53 ; $220,72 ;15;8;24
FASE0105;TELCEL PAQUETE AMIGO 20;S005;Comisiones;C;PdC;TELEFONIA; $258,60 ; $327,56 ;15;19;0
FASE0106;TELCEL PAQUETE AMIGO 200;S005;Comisiones;B;PdC;TELEFONIA; $2.586,29 ; $1.379,42 ;15;8;0
FRIT0014;FRITURA RUNNERS BARCEL ORIGINALES 72G;S005;Maíz Frito;C;PdC;Santiago; $208,35 ; $-   ;15;0;19
FRIT0082;PAPAS SABRITAS LIMON 42G;S005;Papas fritas;C;PdC;Santiago; $263,86 ; $500,08 ;15;30;0
FRIT0164;BOTANA SUSALIA SUSALITAS FLAMA 50G;S005;Mezclas Frituras;D;CEDIS;Sandra; $430,51 ; $217,60 ;15;10;1
GADU0040;GALLETA GAMESA BARRA DE COCO 12/365G;S005;Galleta Dulce Caja;C;CEDIS;Sandra; $638,85 ; $238,86 ;15;6;7
GADU0090;GALLETA GAMESA MARIAS 12/850G;S005;Galleta Dulce Caja;C;CEDIS;Sandra; $1.027,80 ; $753,72 ;15;11;11
GADU0153;GALLETA MARINELA TRIKITRAKES 85G;S005;Galleta Dulce Paqeti;D;PdC;Santiago; $263,85 ; $100,02 ;15;6;23
GASE0026;HOJA PARA TAMAL PZ;S005;Otras Semillas;B;CEDIS;Sandra; $1.365,00 ; $2.211,00 ;15;29;22
GASE0044;CHILE DE ARBOL SECO MI VILLA CON CABO PZ;S005;Chiles Secos;D;PdC;Santiago; $225,00 ; $250,00 ;15;20;24
INVE0015;INSECTICIDA RAID CASA Y JARDIN 12/400ML;S005;Insecticidas y Venen;B;CEDIS;Sandra; $989,25 ; $1.550,05 ;15;29;15
JATO0045;JABON ZEST NEUTRO 72/150G;S005;Jabones de tocador e;D;CEDIS;Sandra; $232,78 ; $263,82 ;15;18;27
JATO0062;JABON ESCUDO ANTIBACTERIAL 72/160G;S005;Jabones de tocador e;D;CEDIS;Sandra; $219,88 ; $374,17 ;15;31;8
JUNE0101;JUGO DEL VALLE MANZANA NECTAR 6/413ML;S005;Jugo y Nec Personal;D;PdC;Santiago; $255,00 ; $90,00 ;15;6;12
LADE0061;QUESO ASADERO EL PUEBLITO BOLA 1KG;S005;Quesos;B;PdC;Santiago; $2.160,00 ; $3.696,00 ;15;28;3
LEFR0029;NECTAR DE COCO ORIGINAL SIN AZUCAR 3/1LT;S005;Blanca UHT;D;PdC;Santiago; $937,50 ; $658,00 ;15;14;12
LEFR0058;LECHE ALPURA FRESA UHT 12/1LT;S005;Saborizada UHT;D;PdC;Santiago; $532,50 ; $315,00 ;15;10;28
LEFR0065;LECHE LIGTH LALA 1LT;S005;Blanca pasteurizada;C;PdC;Alma; $510,00 ; $732,00 ;15;24;1
LEFR0066;LECHE LALA 100 + PROTEINA LIGHT 1LT;S005;Blanca pasteurizada;C;PdC;Alma; $720,00 ; $864,00 ;15;24;0
LEPC0034;LECHE COND. LA LECHERA SQUEEZE 18/335G;S005;Leche Condensada;C;CEDIS;Sandra; $667,50 ; $840,00 ;15;20;9
LIMP0126;LIMPIADOR PINOL 20/500ML;S005;Limpiadores Multiuso;D;CEDIS;Sandra; $258,60 ; $279,36 ;15;18;24
LIMP0189;LIMPIADOR POETT SUA/ALGODON 8/1.8LT;S005;Limpiadores Multiuso;D;CEDIS;Sandra; $446,10 ; $267,20 ;15;10;12
MOLE0006;POLVO CALCETOSE  SOBRE 40/160G;S005;Chocolate en polvo;D;CEDIS;Sandra; $444,45 ; $472,26 ;15;17;14
PAEM0065;GALLETA MARINELA ROCKO 44G;S005;Pan en Barra;D;PdC;Santiago; $138,90 ; $44,44 ;15;6;9
PAEM0085;PAN DULCE TIA ROSA CONCHAS 120G;S005;Pan Seco;C;PdC;Santiago; $305,55 ; $505,48 ;15;26;4
PAEM0125;SUPERDOÑA DONA ESPECIAL;S005;Pan Dulce;C;PdC;Santiago; $194,44 ; $622,22 ;15;48;0
REFR0072;REFRESCO JARRITOS PIÑA 600ML;S005;Refrescos de Sabores;D;PdC;Santiago; $187,50 ; $134,52 ;15;12;13
SUTE0017;ACON DE TELA SUAVITEL COM ACQUA 12/700ML;S005;Suavizante Tradicion;C;CEDIS;Sandra; $387,90 ; $558,65 ;15;24;13
TORT0001;TORTILLA DE HARINA BIMBO DEL HOGAR 260G;S005;Tortillas Harina;C;PdC;Santiago; $292,50 ; $1.332,00 ;15;74;9
VILB0009;BEBIDA PREPARADA NEW MIX VAMPI 24/350ML;S005;Base Tequila;D;CEDIS;Sandra; $265,79 ; $389,82 ;15;22;22
CAFR0007;CHORIZO CHAPARRAL PARA ASAR KG;S005;Chorizo y longaniza;B;CEDIS;Alma; $1.747,90 ; $3.251,95 ;14;28;3,355
ADCO0114;VINAGRE DE MANZANA CLEMENTE J. 24/500ML;S005;Vinagre;D;CEDIS;Sandra; $231,00 ; $-   ;14;0;21
ALBE0025;PAPILLA MANZANA GERBER E3 12/170G;S005;Papillas para Bebe;D;CEDIS;Sandra; $238,00 ; $72,00 ;14;4;6
ALEN0107;ENSALADA LEGUMBRES HERDEZ 24/400G;S005;Vegetales Envasados;D;CEDIS;Sandra; $266,00 ; $32,00 ;14;2;8
AZSU0010;ENDULZANTE SPLENDA 12/50PZ;S005;Otros Endulzantes;D;CEDIS;Sandra; $714,00 ; $384,00 ;14;8;5
BEAL0060;LECHE ALMENDRA NATURE S/AZÚCAR 12/946ML;S005;Te LPB Personal;D;CEDIS;Sandra; $770,00 ; $-   ;14;0;10
BEAL0067;LECHE ALMENDRA SILK 6/946ML;S005;Saborizada UHT;C;CEDIS;Sandra; $798,00 ; $561,00 ;14;11;7
CAFR0078;SALCHICHA ROS PAVO 425G;S005;Salchicha;C;PdC;Alma; $770,00 ; $912,00 ;14;19;8
CAFR0215;CECINA MAXIM ADOBADA 500G;S005;Otras Carnes Frías;B;CEDIS;Alma; $870,40 ; $2.294,00 ;14;37;20
CARN0414;PULPO CAPITAN PICADO 20/500G;S005;Pescados y Mariscos;N;NoClas;Alma; $2.380,00 ; $-   ;14;0;14
CERE0046;CEREAL NESTLE TRIX 20/230G;S005;Cereal Infantil;C;CEDIS;Sandra; $440,72 ; $1.100,10 ;14;39;5
CERE0100;CEREAL NESTLE COOKE CRISP 20/220G;S005;Cereal Infantil;D;CEDIS;Sandra; $499,10 ; $-   ;14;0;1
